"Note: In Ramey's regressions, all GDP and hours variables were entered as log(x/totpop). ",,,,,,,,,,,,,,,,,,,,,,
"Real GDP and its components are indexes, equal to 100 in 2005.  DO NOT ADD.",,,,,,,,,,,,,,,,,,,,,,
,Nominal present value of news variable,pdvmil divided by nominal gdp of previous quarter,real gdp,real total consumption,real durable consumption,real nondurable consumption,real services consumption,real fixed investment,real nonresidential fixed investment,real residential investment,real government spending,real federal spending,real defense spending,Real consumer stock of durables,total hours - Household based measure,Military hours,"total population, including armed forces overseas",Real manufacturing product wage,Consumer price index,BAA bond interest rate,Interest rate on 3-month T-bills,Barro-Redlick Avg. marginal tax rate
,,,,,,,,,,,,,,,,,,,,,,
quarter,pdvmil,pdvmily,rgdp,rcons,rcdur,rcnd,rcsv,rinvfx,rnri,rres,rgov,rfed,rdef,kcdur,tothours,milithours,totpop,rwmfg,cpi,BAA,tb3,amtbr
1960.75,0,0.000,22.18,20.28,8.03,30.40,20.04,13.67,10.66,25.17,37.46,54.41,67.61,9.53,138.21,4.59,181796,0.07,29.78,5.10,2.31,0.265
1961,7.7,0.015,22.31,20.27,7.59,30.58,20.24,13.50,10.43,25.26,37.95,54.34,69.40,9.57,139.36,4.66,182520,0.07,29.84,5.06,2.35,0.270
1961.25,31.1,0.059,22.72,20.57,7.75,30.99,20.53,13.70,10.65,25.35,38.04,54.85,68.96,9.60,137.40,4.63,183217,0.07,29.83,5.02,2.30,0.270
1961.5,3.5,0.006,23.09,20.67,7.93,31.01,20.60,14.03,10.74,26.72,38.78,56.39,70.94,9.64,137.53,4.65,183958,0.07,29.95,5.11,2.30,0.270
1961.75,-1,-0.002,23.56,21.09,8.32,31.44,20.96,14.50,11.10,27.62,39.64,57.38,72.17,9.69,140.56,5.00,184783,0.07,29.99,5.11,2.46,0.270
1962,2,0.004,23.98,21.31,8.50,31.70,21.16,14.81,11.36,28.12,40.34,59.49,74.86,9.76,140.71,5.29,185452,0.07,30.11,5.06,2.72,0.275
1962.25,0,0.000,24.25,21.57,8.73,31.82,21.47,15.26,11.70,29.00,40.56,59.73,74.05,9.85,141.78,5.32,186087,0.07,30.22,5.01,2.72,0.275
1962.5,0,0.000,24.47,21.75,8.79,32.07,21.66,15.38,11.85,28.97,41.48,61.53,75.23,9.94,141.51,5.23,186790,0.07,30.31,5.05,2.84,0.275
1962.75,0,0.000,24.53,22.06,9.18,32.25,21.93,15.31,11.77,28.94,41.54,61.20,74.35,10.05,141.09,5.11,187574,0.07,30.38,4.96,2.81,0.275
1963,0,0.000,24.85,22.20,9.36,32.43,22.02,15.49,11.75,29.98,41.29,59.71,72.59,10.16,141.53,4.98,188213,0.07,30.48,4.89,2.91,0.280
1963.25,0,0.000,25.17,22.42,9.56,32.54,22.26,16.20,12.12,32.14,41.23,59.16,71.84,10.28,141.74,5.01,188790,0.07,30.53,4.85,2.94,0.280
1963.5,-7.1,-0.012,25.64,22.72,9.68,32.84,22.65,16.62,12.49,32.73,43.00,62.45,74.40,10.40,142.50,5.05,189496,0.07,30.72,4.84,3.29,0.280
1963.75,0,0.000,25.83,22.91,9.83,32.79,22.96,17.16,12.90,33.73,42.61,60.78,72.52,10.53,143.83,5.02,190265,0.08,30.80,4.84,3.50,0.280
1964,-4.6,-0.007,26.41,23.36,10.22,33.36,23.33,17.81,13.22,35.80,42.77,60.47,71.46,10.66,143.62,4.93,190858,0.08,30.93,4.83,3.53,0.253
1964.25,0,0.000,26.72,23.78,10.48,33.99,23.65,17.76,13.56,33.99,43.05,60.07,70.08,10.81,146.03,5.01,191447,0.08,30.98,4.85,3.48,0.253
1964.5,0,0.000,27.08,24.21,10.83,34.66,23.96,18.05,14.02,33.44,43.07,59.60,69.85,10.97,145.80,4.99,192131,0.08,31.05,4.82,3.50,0.253
1964.75,0,0.000,27.16,24.28,10.50,34.72,24.29,18.18,14.31,32.83,42.95,58.76,68.41,11.13,145.70,4.99,192847,0.08,31.19,4.81,3.68,0.253
1965,2.2,0.003,27.82,24.82,11.47,35.05,24.57,19.01,15.27,32.94,42.84,58.02,66.89,11.32,148.21,4.98,193393,0.08,31.29,4.79,3.89,0.244
1965.25,1.4,0.002,28.20,25.09,11.49,35.39,24.94,19.54,15.85,33.20,43.40,58.13,66.58,11.52,149.47,4.92,193888,0.08,31.49,4.82,3.87,0.244
1965.5,14,0.020,28.77,25.53,11.88,35.92,25.28,20.07,16.45,33.33,44.90,60.48,68.92,11.73,150.20,4.91,194528,0.08,31.58,4.89,3.87,0.244
1965.75,0,0.000,29.47,26.24,12.38,37.25,25.71,20.52,17.15,32.61,45.86,62.16,71.53,11.96,151.63,5.07,195195,0.08,31.75,4.97,4.17,0.244
1966,0,0.000,30.19,26.63,12.97,37.52,25.97,21.28,17.89,33.35,46.69,63.58,74.14,12.20,152.47,5.36,195688,0.08,32.05,5.17,4.61,0.251
1966.25,1,0.001,30.29,26.70,12.46,37.88,26.26,21.01,18.17,30.67,47.51,65.26,75.70,12.44,153.27,5.55,196178,0.08,32.34,5.49,4.59,0.251
1966.5,11,0.014,30.49,27.00,12.86,38.15,26.47,21.00,18.39,29.68,48.80,67.90,80.67,12.67,154.92,5.75,196762,0.08,32.62,5.87,5.04,0.251
