"Note: In Ramey's regressions, all GDP and hours variables were entered as log(x/totpop). ",,,,,,,,,,
"Real GDP and its components are indexes, equal to 100 in 2005.  DO NOT ADD.",,,,,,,,,,
,Ramey-Shapiro military date,Real gdp,Real nondurable + services consumption,Real fixed investment,Real government spending,Real federal spending,Real defense spending,Total hours - Establishment based measures,Total population,Barro-Redlick Avg. Marginal Tax Rate
,,,,,,,,,,
,,,,,,,,,,
quarter,war,rgdp,rcndsv,rinvfx,rgov,rfed,rdef,tothoursces,totpop,amtbr
1988.5,0,60.388,61.3058264,46.312,73.871,86.806,98.608,212.909,245240,0.356
1988.75,0,61.195,61.88728495,46.776,75.372,89.413,100.687,215.169,245884,0.356
1989,0,61.769,62.19663035,47.242,74.909,87.583,97.426,217.161,246378,0.360
1989.25,0,62.231,62.38838493,47.307,76.069,89.554,99.502,218.400,246906,0.360
1989.5,0,62.725,62.91600401,48.13,76.786,90.416,100.711,218.647,247573,0.360
1989.75,0,62.862,63.5844615,47.337,77.194,89.962,99.703,219.761,248281,0.360
1990,0,63.518,63.75593338,47.926,78.385,91.312,99.921,219.913,248827,0.362
1990.25,0,63.771,64.33418051,46.818,78.501,91.421,99.639,218.723,249565,0.362
1990.5,0,63.77,64.71111196,46.312,78.478,90.605,97.934,218.714,250439,0.362
1990.75,0,63.211,64.39373757,44.993,79.257,91.401,99.725,218.124,251346,0.362
1991,0,62.905,64.43255286,43.452,79.579,92.11,100.593,216.471,252135,0.371
1991.25,0,63.33,64.94759081,43.387,79.857,92.371,100.318,215.476,252913,0.371
1991.5,0,63.596,65.09352677,43.532,79.478,90.65,97.631,215.642,253807,0.371
1991.75,0,63.846,65.20259712,43.614,79.144,88.871,94.314,215.491,254718,0.371
1992,0,64.546,66.13142,44.065,79.745,88.899,92.843,214.893,255448,0.369
1992.25,0,65.232,66.51266778,45.798,79.651,88.81,92.91,215.911,256285,0.369
1992.5,0,65.905,67.15626902,46.494,80.06,89.824,94.185,215.868,257232,0.369
1992.75,0,66.599,67.905648,47.942,80.083,89.87,93.464,217.113,258147,0.369
1993,0,66.721,68.12720326,48.221,79.239,87.106,89.785,218.594,258919,0.379
1993.25,0,67.148,68.5677091,49.3,79.18,85.876,88.463,221.094,259680,0.379
1993.5,0,67.502,69.30966079,50.174,79.101,84.97,87.26,221.422,260566,0.379
1993.75,0,68.393,69.77957778,52.403,79.491,85.415,88.097,222.888,261425,0.379
1994,0,69.059,70.4281596,53.099,78.48,82.358,83.683,224.066,262123,0.385
1994.25,0,70.003,70.91599434,54.376,78.81,81.893,83.726,227.408,262877,0.385
1994.5,0,70.454,71.45880644,54.916,80.192,84.14,86.484,229.539,263724,0.385
1994.75,0,71.237,71.90109157,56.419,79.5,81.83,82.395,230.663,264559,0.385
1995,0,71.412,72.22200244,57.707,79.816,81.63,82.174,232.493,265270,0.386
1995.25,0,71.565,72.79266257,57.488,80.083,81.307,82.028,232.726,265998,0.386
1995.5,0,72.167,73.24152354,58.247,79.907,80.754,81.047,234.619,266843,0.386
1995.75,0,72.67,73.64540889,59.461,79.013,77.722,78.495,234.285,267715,0.386
1996,0,73.168,74.29919609,60.964,79.519,79.341,80.026,233.057,268364,0.385
1996.25,0,74.432,74.91705353,62.947,80.661,80.472,81.117,235.492,269108,0.385
1996.5,0,75.08,75.35302018,64.403,80.583,79.053,79.396,237.391,269976,0.385
1996.75,0,75.899,75.8425418,65.479,81.266,78.825,78.886,239.834,270878,0.385
1997,0,76.483,76.41786189,66.758,81.411,77.764,76.352,241.359,271585,0.386
1997.25,0,77.617,76.80752095,68.196,82.116,79.142,78.151,242.717,272342,0.386
1997.5,0,78.591,77.8080933,70.823,82.208,78.884,77.772,244.131,273237,0.386
1997.75,0,79.194,78.53477176,71.431,82.344,78.776,78.199,245.276,274126,0.386
1998,0,79.942,79.33124955,73.582,81.849,76.319,73.543,246.962,274838,0.387
1998.25,0,80.661,80.30103031,76.146,83.628,78.419,76.359,247.949,275564,0.387
1998.5,0,81.726,81.17689332,77.595,84.402,77.767,77.308,248.312,276418,0.387
1998.75,0,83.14,81.88242012,79.967,85.157,78.529,76.7,251.216,277277,0.387
1999,0,83.881,82.78356071,81.449,85.593,78.01,75.772,251.158,277992,0.390
1999.25,0,84.537,83.67744915,83.356,85.95,78.009,75.81,253.262,278717,0.390
1999.5,0,85.612,84.52239934,85.295,87.061,79.646,78.056,254.067,279602,0.390
1999.75,0,87.149,85.74047255,85.777,88.438,81.416,79.904,255.409,280471,0.390
2000,0,87.377,86.50054678,88.286,87.714,78.194,75.179,257.075,281190,0.392
2000.25,0,89.081,87.69450602,90.505,88.884,81.324,78.647,257.629,281877,0.392
2000.5,0,89.156,88.45307607,90.824,88.604,79.747,77.03,257.113,282649,0.392
2000.75,0,89.684,89.25441413,91.097,88.874,79.379,77.09,256.125,283439,0.392
2001,0,89.388,89.43371277,90.552,90.188,81.069,78.447,256.169,284113,0.385
2001.25,0,89.974,89.82565498,89.137,92.061,82.805,79.544,254.412,284775,0.385
2001.5,1,89.727,90.11749591,88.203,91.893,83.361,80.267,252.956,285526,0.385
2001.75,0,90.044,90.6151432,85.988,93.525,84.368,81.374,251.311,286288,0.385
2002,0,90.818,91.14511859,85.225,94.958,86.376,83.128,249.690,286931,0.380
2002.25,0,91.299,91.53208205,84.887,95.87,88.372,85.041,250.777,287552,0.380
2002.5,0,91.756,91.83747884,84.739,96.646,89.772,86.482,250.416,288279,0.380
2002.75,0,91.775,92.39858737,84.054,97.293,91.289,88.476,250.765,289016,0.380
2003,0,92.146,92.93002773,84.066,97.091,91.315,87.785,249.248,289614,0.359
