quarter,govdef_owid,govdef_fred,govdef_spliced
1915.75,0.05984325224869095,,0.05984325224869095
1916.0,0.06452917542837244,,0.06452917542837244
1916.25,0.05862492202774564,,0.05862492202774564
1916.5,0.06428437492191438,,0.06428437492191438
1916.75,0.06199907263296751,,0.06199907263296751
1917.0,0.08623573801788152,,0.08623573801788152
1917.25,0.16966721559497602,,0.16966721559497602
1917.5,0.15731807049944502,,0.15731807049944502
1917.75,0.1606791502401975,,0.1606791502401975
1918.0,1.0512731913837214,,1.0512731913837214
1918.25,1.4462368687441913,,1.4462368687441913
1918.5,1.712443682646189,,1.712443682646189
1918.75,1.9736301291808973,,1.9736301291808973
1919.0,4.572637281939529,,4.572637281939529
1919.25,2.790316266332394,,2.790316266332394
1919.5,2.127813726944953,,2.127813726944953
1919.75,1.4652472063831257,,1.4652472063831257
1920.0,0.36537533390401733,,0.36537533390401733
1920.25,0.4112556965302453,,0.4112556965302453
1920.5,0.4219431052159046,,0.4219431052159046
1920.75,0.43428109805483306,,0.43428109805483306
1921.0,0.32231729257958314,,0.32231729257958314
1921.25,0.3000870341117543,,0.3000870341117543
1921.5,0.23667886568683486,,0.23667886568683486
1921.75,0.2598077324218278,,0.2598077324218278
1922.0,0.19552327703554337,,0.19552327703554337
1922.25,0.18922977346127406,,0.18922977346127406
1922.5,0.20762795777673917,,0.20762795777673917
1922.75,0.2603724280214433,,0.2603724280214433
1923.0,0.1786027763092657,,0.1786027763092657
1923.25,0.15999189672073308,,0.15999189672073308
1923.5,0.15559396879931292,,0.15559396879931292
1923.75,0.17948670625068847,,0.17948670625068847
1924.0,0.12514187113997177,,0.12514187113997177
1924.25,0.1455258312103466,,0.1455258312103466
1924.5,0.1492687057412014,,0.1492687057412014
1924.75,0.15006436203548026,,0.15006436203548026
1925.0,0.15513885498648067,,0.15513885498648067
1925.25,0.14131608594647002,,0.14131608594647002
1925.5,0.1505920865993828,,0.1505920865993828
1925.75,0.14699333470166653,,0.14699333470166653
1926.0,0.13540379225310736,,0.13540379225310736
1926.25,0.14472819799459824,,0.14472819799459824
1926.5,0.13393390904006772,,0.13393390904006772
1926.75,0.1462156688579768,,0.1462156688579768
1927.0,0.15243215309241684,,0.15243215309241684
1927.25,0.14443114936664717,,0.14443114936664717
1927.5,0.1554618530238865,,0.1554618530238865
1927.75,0.15156867148004946,,0.15156867148004946
1928.0,0.1696627394274374,,0.1696627394274374
1928.25,0.1639944273236976,,0.1639944273236976
1928.5,0.16822101016632632,,0.16822101016632632
1928.75,0.17143555667503846,,0.17143555667503846
1929.0,0.1755772267095065,,0.1755772267095065
1929.25,0.1700462865374523,,0.1700462865374523
1929.5,0.17316705260003126,,0.17316705260003126
1929.75,0.1822713636625098,,0.1822713636625098
1930.0,0.17516440047580084,,0.17516440047580084
1930.25,0.17669582142730822,,0.17669582142730822
1930.5,0.16943103822520503,,0.16943103822520503
1930.75,0.17828242718968604,,0.17828242718968604
1931.0,0.20144344487140833,,0.20144344487140833
1931.25,0.16242852284069398,,0.16242852284069398
1931.5,0.18804630634862418,,0.18804630634862418
1931.75,0.1480384235662736,,0.1480384235662736
1932.0,0.15093322782481014,,0.15093322782481014
1932.25,0.18278883354864633,,0.18278883354864633
1932.5,0.16067148969843834,,0.16067148969843834
1932.75,0.14851985617310512,,0.14851985617310512
1933.0,0.13817208545619025,,0.13817208545619025
1933.25,0.1444058476363948,,0.1444058476363948
1933.5,0.11724500292617623,,0.11724500292617623
1933.75,0.17359504570623885,,0.17359504570623885
1934.0,0.22256043397893036,,0.22256043397893036
1934.25,0.19246084799896124,,0.19246084799896124
1934.5,0.18381739696625174,,0.18381739696625174
1934.75,0.2042973463683566,,0.2042973463683566
1935.0,0.1711562607547474,,0.1711562607547474
1935.25,0.19310854840547276,,0.19310854840547276
1935.5,0.22897305265749457,,0.22897305265749457
1935.75,0.2127627270822853,,0.2127627270822853
1936.0,0.2125330337726827,,0.2125330337726827
1936.25,0.23522500774301683,,0.23522500774301683
1936.5,0.23712789244237198,,0.23712789244237198
1936.75,0.24750843376692827,,0.24750843376692827
1937.0,0.2873810854617092,,0.2873810854617092
1937.25,0.2596982766445527,,0.2596982766445527
1937.5,0.2544041275489663,,0.2544041275489663
1937.75,0.23190621252477175,,0.23190621252477175
1938.0,0.24660016678615776,,0.24660016678615776
1938.25,0.26282786982325423,,0.26282786982325423
1938.5,0.3019122922892813,,0.3019122922892813
