robs,piexp,dw,dc,dinve,dy,pinfobs
5.45882450691621e-05,6.61449843164524e-05,-3.10691381749525e-05,1.95878233486526e-05,-3.10666793832975e-05,4.69719375593843e-06,6.80300440670802e-05
5.2975660939911e-05,6.4319346426346e-05,-2.99914410871347e-05,1.89206484027549e-05,-3.04163123374729e-05,4.50411631578461e-06,6.61449856772648e-05
5.14303201596451e-05,6.2549007730627e-05,-2.89832731702607e-05,1.82834613925909e-05,-2.97586934500846e-05,4.32514306425213e-06,6.4319348115494e-05
4.99448771690924e-05,6.0830574040716e-05,-2.80357098100051e-05,1.76757280665556e-05,-2.90946583305592e-05,4.16050812723841e-06,6.25490097401863e-05
4.85133565824963e-05,5.91612315115351e-05,-2.71411923879497e-05,1.70964363984021e-05,-2.84257395719235e-05,4.00987459293714e-06,6.08305759475993e-05
4.71309005819796e-05,5.75386279916496e-05,-2.62933401390575e-05,1.6544265881622e-05,-2.77538737728463e-05,3.8725225902363e-06,5.91612335788597e-05
4.57935559857707e-05,5.59607736507987e-05,-2.54867808246872e-05,1.6017716551565e-05,-2.70811855448536e-05,3.74749413758405e-06,5.75386302581109e-05
4.44980975310679e-05,5.44259637534945e-05,-2.47170001671573e-05,1.55152048697994e-05,-2.64098315255601e-05,3.63370149434742e-06,5.59607761615947e-05
4.3241881058696e-05,5.29327133641011e-05,-2.3980209355866e-05,1.50351346497964e-05,-2.57418928468735e-05,3.53000592092059e-06,5.44259665026009e-05
4.20227238164765e-05,5.14797075253314e-05,-2.32732295606579e-05,1.45759461769266e-05,-2.50793035710336e-05,3.43527570764428e-06,5.29327164540233e-05
4.08388047853418e-05,5.00657611085992e-05,-2.25933921394687e-05,1.41361497350551e-05,-2.44238090369512e-05,3.34842356023261e-06,5.14797110947401e-05
3.96885882631286e-05,4.8689788522075e-05,-2.19384530229583e-05,1.3714347216072e-05,-2.37769419118327e-05,3.2684342911e-06,5.00657647792685e-05
3.85707571914235e-05,4.73507785098689e-05,-2.13065198810783e-05,1.33092436302408e-05,-2.31400155326737e-05,3.19437695484762e-06,4.8689792581642e-05
3.7484165463391e-05,4.60477774231341e-05,-2.06959905271344e-05,1.29196520423088e-05,-2.25141281194945e-05,3.12541390987863e-06,4.73507828718455e-05
3.64277955808616e-05,4.4779874613171e-05,-2.01055011718014e-05,1.25444932843253e-05,-2.19001730362833e-05,3.06080274846762e-06,4.60477820120789e-05
3.54007292530038e-05,4.35461933069232e-05,-1.95338832839522e-05,1.21827928116759e-05,-2.12988545069986e-05,2.99989219800999e-06,4.47798801077829e-05
3.44021236418164e-05,4.23458809742743e-05,-1.89801277430232e-05,1.18336744599142e-05,-2.07107055375042e-05,2.94211902095154e-06,4.35461983070077e-05
3.34311917773267e-05,4.11781078571381e-05,-1.84433553136915e-05,1.14963537961086e-05,-2.01361070388963e-05,2.88700045633884e-06,4.23458868604354e-05
3.24871908100953e-05,4.00420608923927e-05,-1.79227924432023e-05,1.11701292508525e-05,-1.95753048983262e-05,2.83412704732981e-06,4.11781142184992e-05
3.15694091273056e-05,3.89369418077542e-05,-1.74177515156114e-05,1.08543736020774e-05,-1.90284332960415e-05,2.78315434479834e-06,4.00420677037013e-05
3.06771618403415e-05,3.78619692826473e-05,-1.69276148220972e-05,1.0548528125696e-05,-1.84955287074034e-05,2.73379626696213e-06,3.89369508757644e-05
2.98097841993819e-05,3.68163725571108e-05,-1.64518216748136e-05,1.02520919100222e-05,-1.79765449080658e-05,2.68581715175378e-06,3.78619780079266e-05
